Chip_ID,Core_Voltage_V,Clock_Freq_GHz,Workload_Load_Pct,Ambient_Temp_C,Fan_Speed_RPM,Junction_Temp_C
IC-1047,1.037,1.61,31.0,34.5,962.0,73.04
IC-1048,1.162,3.62,12.2,29.9,2499.0,67.9
IC-1049,1.178,3.07,88.3,20.8,2104.0,78.15
IC-1050,0.961,3.98,11.9,31.4,996.0,76.39
IC-1051,1.432,3.07,88.7,37.1,1900.0,99.29
IC-1052,1.315,4.27,57.6,30.8,1963.0,89.85
IC-1053,1.414,3.19,94.5,34.7,1198.0,106.26
IC-1054,1.387,3.22,81.9,35.9,3070.0,88.73
IC-1055,1.209,4.36,99.8,24.1,2840.0,89.06
IC-1056,1.403,2.65,41.6,23.8,2406.0,66.54
IC-1057,0.903,1.68,79.0,31.0,1910.0,74.6
IC-1058,0.968,1.3,46.2,27.4,1788.0,59.83
IC-1059,0.877,3.92,53.2,35.1,2362.0,80.33
IC-1060,1.045,3.43,66.5,36.2,2109.0,87.14
IC-1061,1.083,3.73,88.6,26.4,949.0,97.21
IC-1062,1.013,1.97,98.6,24.3,2030.0,75.03
IC-1063,1.347,1.69,79.1,34.0,2735.0,75.13
IC-1064,1.064,1.25,47.6,24.9,1902.0,60.45
IC-1065,1.019,2.46,47.9,34.8,925.0,84.6
IC-1066,1.176,3.32,76.4,27.6,2687.0,81.33
IC-1067,0.935,2.61,31.5,32.0,1283.0,72.51
IC-1068,1.331,2.77,19.9,21.7,1421.0,66.99
IC-1069,0.895,4.45,41.9,31.2,1195.0,86.76
IC-1070,1.442,2.45,35.9,28.1,1593.0,75.17
IC-1071,1.313,3.05,36.7,30.6,2616.0,73.22
IC-1072,0.969,4.02,31.0,23.0,2047.0,68.95
IC-1073,0.853,2.63,13.8,33.3,1292.0,68.23
IC-1074,1.339,3.44,11.6,35.5,2907.0,73.9
IC-1075,1.274,4.3,98.9,23.9,2911.0,89.75
IC-1076,1.287,4.62,48.5,21.7,2889.0,75.07
IC-1077,1.313,1.73,44.6,20.4,1373.0,66.93
IC-1078,0.894,4.54,71.2,31.6,1883.0,87.8
IC-1079,1.065,2.97,29.6,30.9,3164.0,61.06
IC-1080,0.92,2.13,95.5,29.8,2653.0,74.7
IC-1081,1.368,2.85,80.8,24.2,865.0,91.32
IC-1082,1.224,4.73,18.0,27.0,956.0,85.26
IC-1083,1.049,2.97,47.6,30.7,1913.0,74.48
IC-1084,0.888,2.38,89.1,28.9,2982.0,72.57
IC-1085,1.037,3.48,95.0,37.8,2093.0,96.42
IC-1086,1.045,2.06,52.1,22.5,1995.0,63.44
IC-1087,1.288,1.47,65.2,32.5,1053.0,82.85
IC-1088,1.233,1.66,25.0,27.3,2376.0,58.39
IC-1089,1.382,1.66,99.2,27.7,2773.0,80.2
IC-1090,1.133,1.75,30.9,32.9,1713.0,67.05
IC-1091,0.922,1.7,94.8,32.5,2661.0,73.82
IC-1092,1.278,3.51,68.5,37.8,3115.0,85.92
IC-1093,1.306,1.85,64.7,22.3,1289.0,73.81
IC-1094,1.187,2.44,56.1,21.9,2056.0,67.62
IC-1095,1.313,4.43,30.8,33.0,1489.0,89.14
IC-1096,1.146,2.91,25.9,30.4,2703.0,65.92
IC-1097,1.164,3.6,29.8,24.9,2186.0,69.94
IC-1098,1.107,1.82,26.8,21.4,2323.0,52.96
IC-1099,0.865,1.89,80.2,21.5,2715.0,61.92
IC-1100,0.915,1.35,41.5,36.1,1750.0,66.84
IC-1101,0.869,1.81,15.2,23.5,2996.0,42.43
IC-1102,1.232,2.2,97.2,25.8,2079.0,82.49
IC-1103,1.039,1.84,89.5,24.1,1179.0,80.0
IC-1104,1.155,1.52,93.5,26.4,2470.0,72.93
IC-1105,1.395,1.63,99.5,21.2,2704.0,71.4
IC-1106,1.0,2.86,25.7,29.3,1560.0,68.94
IC-1107,1.096,1.94,45.7,21.2,2857.0,56.26
IC-1108,1.303,2.51,78.2,34.4,2975.0,82.49
IC-1109,0.987,3.01,72.6,24.2,1465.0,80.43
IC-1110,0.896,3.69,23.9,29.7,3160.0,62.12
IC-1111,1.024,1.34,83.4,35.8,1138.0,84.95
IC-1112,0.947,4.08,30.2,31.7,1285.0,81.2
IC-1113,1.408,3.46,30.1,29.6,1242.0,83.4
IC-1114,1.335,1.49,58.3,25.8,2946.0,62.6
IC-1115,1.23,4.34,63.4,26.0,2370.0,85.19
IC-1116,1.373,4.52,62.2,32.1,1165.0,103.18
IC-1117,1.332,1.42,18.2,37.9,1857.0,69.22
IC-1118,0.962,2.2,89.0,31.9,2277.0,78.54
IC-1119,1.386,4.1,33.9,30.0,1000.0,90.85
IC-1120,1.174,3.89,21.7,33.2,2918.0,71.84
IC-1121,1.334,1.86,90.0,28.4,2729.0,76.17
IC-1122,1.388,1.95,96.0,21.1,2012.0,77.34
IC-1123,1.041,2.53,87.6,30.1,3121.0,73.93
IC-1124,0.916,2.94,82.9,37.2,1803.0,87.56
IC-1125,0.987,3.43,69.0,23.2,3162.0,67.19
IC-1126,1.106,2.53,59.6,32.4,2403.0,74.9
IC-1127,1.341,2.87,17.8,23.6,2323.0,62.38
IC-1128,1.366,3.89,46.8,29.6,1198.0,92.77
IC-1129,0.854,1.33,43.5,21.7,2917.0,46.06
IC-1130,1.156,2.11,33.4,28.1,1826.0,66.92
IC-1131,1.1,3.77,75.1,33.6,1189.0,97.5
IC-1132,0.983,4.42,54.6,26.3,830.0,87.89
IC-1133,0.922,3.04,17.3,32.0,2143.0,65.77
IC-1134,1.053,3.12,29.8,34.3,2066.0,73.36
IC-1135,1.416,1.59,71.5,36.7,2526.0,81.89
IC-1136,1.044,2.81,16.9,24.2,2937.0,51.61
IC-1137,1.161,3.12,86.6,27.2,991.0,91.19
IC-1138,1.272,2.07,54.6,22.7,2556.0,65.53
IC-1139,1.068,2.17,53.3,37.9,1250.0,83.8
IC-1140,1.433,2.56,63.3,36.7,2860.0,81.63
IC-1141,1.427,1.27,84.2,29.7,2766.0,74.14
IC-1142,1.001,2.36,41.3,35.2,2098.0,72.88
IC-1143,1.148,1.96,71.0,29.4,2505.0,70.8
IC-1144,1.031,2.38,60.9,31.2,1554.0,80.18
IC-1145,1.021,1.63,34.0,21.6,1931.0,53.89
IC-1146,0.872,4.41,89.1,33.6,2772.0,89.79
IC-1147,1.216,3.34,81.8,22.3,1902.0,82.97
IC-1148,1.152,3.64,69.3,34.9,1659.0,93.73
IC-1149,0.881,4.04,86.6,34.1,1986.0,91.63
IC-1150,1.017,2.99,88.1,32.8,2788.0,81.63
IC-1151,1.395,1.51,73.8,20.7,1604.0,73.93
IC-1152,0.994,3.13,85.3,25.5,1217.0,85.39
IC-1153,0.937,3.31,72.8,24.7,2509.0,74.06
IC-1154,1.144,3.88,71.2,26.5,2782.0,79.03
IC-1155,1.441,2.75,65.7,21.6,1042.0,84.69
IC-1156,0.995,1.66,77.7,36.9,1376.0,82.72
IC-1157,1.253,2.22,24.3,30.0,1141.0,69.96
IC-1158,1.307,2.51,89.3,25.5,1635.0,86.42
IC-1159,0.993,3.53,88.5,27.1,1881.0,89.42
IC-1160,1.287,3.25,12.6,28.0,2597.0,65.53
IC-1161,1.071,2.48,84.3,30.8,2363.0,79.94
IC-1162,1.229,4.75,21.6,29.3,2290.0,78.34
IC-1163,1.23,3.38,40.2,36.5,1646.0,86.17
IC-1164,1.171,2.05,76.9,28.9,2819.0,72.83
IC-1165,0.904,1.57,24.5,37.9,1931.0,62.21
IC-1166,1.351,1.75,83.6,35.3,3150.0,79.91
IC-1167,1.042,2.09,84.9,23.8,2322.0,72.38
IC-1168,0.962,1.78,55.7,36.8,1103.0,80.63
IC-1169,0.874,1.87,10.6,22.1,2423.0,44.6
IC-1170,1.205,2.23,35.8,34.7,1580.0,76.29
IC-1171,1.257,1.82,65.5,26.9,2447.0,70.93
IC-1172,0.86,4.43,98.3,35.8,967.0,107.08
IC-1173,1.157,1.49,66.9,35.6,1220.0,82.43
IC-1174,0.986,3.09,33.4,34.5,2854.0,66.84
IC-1175,1.237,2.68,67.1,34.2,1345.0,89.8
IC-1176,0.955,4.74,58.6,25.5,2809.0,78.77
IC-1177,1.265,1.6,80.2,21.5,1470.0,73.98
IC-1178,1.082,2.63,19.6,27.3,2343.0,58.39
IC-1179,1.412,4.69,78.5,23.1,2466.0,91.26
IC-1180,0.933,4.32,58.7,32.5,2030.0,85.55
IC-1181,1.055,4.14,96.7,26.2,1533.0,95.7
IC-1182,0.918,2.13,40.8,37.6,1310.0,76.43
IC-1183,1.405,1.82,66.9,31.5,880.0,88.18
IC-1184,1.376,3.61,93.9,34.8,1529.0,106.49
IC-1185,1.005,4.55,19.2,22.4,2368.0,64.25
IC-1186,1.246,3.2,94.4,35.5,3052.0,88.53
IC-1187,1.34,3.26,71.9,36.6,2891.0,87.3
IC-1188,1.183,2.21,16.1,28.8,2639.0,55.6
IC-1189,1.168,3.97,37.1,30.9,2692.0,75.28
IC-1190,0.995,1.87,73.7,33.8,2396.0,76.11
IC-1191,0.906,2.37,16.1,23.1,1425.0,57.36
IC-1192,1.388,2.73,62.4,29.0,2977.0,75.57
IC-1193,1.39,3.03,41.1,27.2,2410.0,72.26
IC-1194,1.23,2.07,65.9,22.6,2145.0,69.07
IC-1195,1.053,1.61,14.1,26.6,1066.0,59.9
IC-1196,1.06,3.4,88.4,21.2,1873.0,81.6
IC-1197,1.286,2.24,97.6,20.5,1905.0,82.25
IC-1198,1.388,3.29,97.2,22.4,2875.0,84.3
IC-1199,1.382,1.76,77.5,37.3,2112.0,85.34
IC-1200,1.318,2.93,21.7,29.9,1713.0,74.0
IC-1201,1.235,3.12,78.2,37.4,3144.0,85.84
IC-1202,0.9,1.39,12.2,27.8,1066.0,58.01
IC-1203,0.947,2.41,12.0,25.6,1814.0,58.42
IC-1204,1.389,1.68,39.1,29.1,901.0,76.09
IC-1205,1.214,1.43,54.0,27.9,2576.0,62.64
IC-1206,0.856,4.76,79.3,21.9,3003.0,75.04
IC-1207,0.911,2.36,71.5,31.5,1472.0,79.4
IC-1208,1.248,4.12,50.1,23.9,2860.0,74.94
IC-1209,0.853,2.12,34.6,31.2,1501.0,67.51
IC-1210,0.946,3.65,99.7,31.7,2986.0,85.4
IC-1211,1.179,3.94,48.4,22.7,2610.0,71.91
IC-1212,1.265,3.34,50.6,21.1,2732.0,68.73
IC-1213,1.241,2.9,24.7,34.1,843.0,81.77
IC-1214,0.985,2.68,81.5,28.3,3111.0,73.82
IC-1215,1.277,2.46,72.4,21.0,2544.0,68.75
IC-1216,0.992,4.55,29.9,37.9,1531.0,88.35
IC-1217,1.045,4.19,17.4,21.0,2791.0,62.37
IC-1218,1.298,4.67,71.2,32.5,1476.0,101.91
IC-1219,1.24,1.65,68.9,37.7,2895.0,75.43
IC-1220,1.36,3.83,34.6,24.3,1070.0,83.12
IC-1221,1.245,4.58,95.6,22.6,2489.0,91.27
IC-1222,1.191,1.85,23.6,22.2,2098.0,57.52
IC-1223,0.906,1.44,48.9,25.5,1032.0,62.97
IC-1224,1.071,3.87,94.9,21.8,1381.0,92.81
IC-1225,1.009,3.27,47.8,32.5,830.0,84.26
IC-1226,0.996,4.23,67.5,21.1,1925.0,79.31
IC-1227,1.434,1.7,45.8,29.2,1523.0,75.23
IC-1228,1.086,4.06,34.7,37.9,2236.0,83.8
IC-1229,1.385,1.93,98.6,34.7,1513.0,93.88
IC-1230,1.229,1.79,46.8,31.1,1520.0,74.98
IC-1231,1.327,1.79,90.5,25.5,2584.0,78.49
IC-1232,1.152,4.13,30.7,31.2,916.0,85.8
IC-1233,1.196,3.59,29.2,29.5,2967.0,68.5
IC-1234,1.146,3.08,12.8,27.7,2845.0,58.15
IC-1235,0.967,2.49,68.7,22.4,2403.0,66.81
IC-1236,1.283,4.36,43.2,36.0,2224.0,89.47
IC-1237,1.018,2.61,87.8,28.1,2942.0,73.53
IC-1238,0.865,4.14,52.6,23.5,1245.0,79.99
IC-1239,1.237,2.78,97.1,26.6,990.0,96.96
IC-1240,0.956,2.56,26.7,27.5,1375.0,66.28
IC-1241,1.414,2.87,88.2,34.9,2707.0,91.69
IC-1242,1.422,2.28,79.9,33.2,883.0,95.13
IC-1243,1.399,3.89,79.4,33.8,2199.0,95.98
IC-1244,1.072,3.01,86.0,20.2,3189.0,69.35
IC-1245,0.859,2.04,78.5,27.5,2854.0,67.13
IC-1246,1.407,4.44,66.4,28.7,2051.0,94.2
IC-1247,1.107,2.58,21.8,20.3,953.0,64.6
IC-1248,1.43,3.16,12.9,24.7,2795.0,62.53
IC-1249,1.428,4.46,92.9,33.7,2238.0,103.11
IC-1250,1.362,3.45,65.5,22.5,1076.0,89.03
IC-1251,1.027,1.62,81.7,29.6,1025.0,82.76
IC-1252,1.081,4.58,53.3,23.9,2983.0,73.61
IC-1253,1.361,3.46,20.6,20.2,2406.0,63.68
IC-1254,1.04,2.41,21.3,24.3,2790.0,53.03
IC-1255,0.952,1.7,71.7,37.6,2910.0,70.71
IC-1256,1.184,4.06,48.7,34.4,2172.0,86.23
IC-1257,1.412,3.43,28.0,37.3,2042.0,86.75
IC-1258,1.268,3.12,54.2,28.8,1833.0,80.96
IC-1259,1.192,4.42,15.8,22.0,1561.0,72.91
IC-1260,0.908,4.04,62.4,29.9,1843.0,82.69
IC-1261,1.219,1.75,34.2,28.2,2657.0,60.71
IC-1262,1.444,2.32,81.8,35.2,2245.0,89.54
IC-1263,0.934,2.09,37.9,21.8,2942.0,49.42
IC-1264,1.161,3.88,51.0,28.8,1864.0,84.46
IC-1265,1.376,1.32,11.0,22.7,2257.0,53.47
IC-1266,1.294,3.25,16.5,25.8,2315.0,65.25
IC-1267,1.268,3.94,45.3,33.3,2220.0,82.65
IC-1268,1.271,4.36,53.2,28.6,2486.0,85.06
IC-1269,1.066,2.43,64.0,26.8,1370.0,76.8
IC-1270,1.026,4.16,36.2,27.1,2030.0,76.28
IC-1271,1.336,1.6,72.5,28.3,1050.0,81.07
IC-1272,1.336,4.25,87.4,34.1,1723.0,105.19
IC-1273,1.37,1.66,80.2,36.1,1970.0,85.14
IC-1274,1.398,2.63,13.6,37.2,2365.0,73.45
IC-1275,1.157,4.07,53.2,34.2,3081.0,80.44
IC-1276,1.151,1.74,19.4,25.7,2242.0,54.07
IC-1277,1.329,2.03,31.8,32.4,2585.0,66.52
IC-1278,1.24,3.8,98.8,27.9,2015.0,96.19
IC-1279,1.271,3.79,22.8,24.6,2322.0,69.71
IC-1280,1.327,3.51,54.9,35.1,970.0,97.24
IC-1281,1.384,3.7,65.6,20.7,1411.0,88.72
IC-1282,1.053,3.15,73.2,36.2,1668.0,88.39
IC-1283,1.075,2.11,60.4,28.3,1934.0,73.95
IC-1284,0.906,2.44,10.9,31.5,910.0,67.29
IC-1285,1.197,1.85,39.4,31.9,1136.0,74.5
IC-1286,0.872,4.47,56.6,36.1,1464.0,90.24
IC-1287,1.129,3.3,17.9,31.5,3132.0,62.36
IC-1288,1.176,2.64,41.6,31.1,1595.0,77.83
IC-1289,1.022,2.86,13.0,21.2,1957.0,56.06
IC-1290,1.204,4.61,17.1,29.3,1271.0,85.21
IC-1291,0.868,1.75,45.7,22.7,2266.0,52.94
IC-1292,0.872,3.31,21.9,33.3,1474.0,72.46
IC-1293,1.344,3.02,61.1,29.2,1297.0,86.67
IC-1294,1.066,3.4,72.1,32.2,2040.0,86.11
IC-1295,0.926,1.27,82.1,20.8,813.0,72.88
IC-1296,1.163,4.34,28.0,21.5,818.0,80.14
IC-1297,1.312,4.56,25.1,32.9,1326.0,86.86
IC-1298,0.979,3.23,19.4,21.3,888.0,67.52
IC-1299,1.224,3.71,67.3,21.3,1059.0,87.49
IC-1300,0.901,4.52,73.6,20.2,1613.0,83.34
IC-1301,0.881,3.75,12.8,37.2,2726.0,68.61
IC-1302,1.169,1.75,94.3,33.3,2173.0,82.25
IC-1303,1.174,3.27,14.7,26.4,2030.0,66.75
IC-1304,1.232,3.38,58.7,25.3,1504.0,84.29
IC-1305,1.286,2.73,73.8,26.3,3036.0,71.74
IC-1306,1.436,3.85,88.4,33.9,1753.0,103.76
IC-1307,1.16,4.56,74.3,31.9,1009.0,101.78
IC-1308,1.044,4.53,82.2,23.3,2281.0,85.7
IC-1309,1.327,2.82,40.6,23.1,1073.0,77.73
IC-1310,1.012,1.61,83.3,21.8,1629.0,70.24
IC-1311,1.113,4.75,17.2,31.9,2018.0,78.63
IC-1312,0.897,4.22,90.5,33.8,2898.0,88.0
IC-1313,0.865,1.65,59.3,24.8,1985.0,60.32
IC-1314,1.428,4.52,83.6,20.4,2485.0,88.0
IC-1315,1.352,4.33,50.7,21.5,3183.0,74.23
IC-1316,1.268,3.07,67.9,37.4,1116.0,95.88
IC-1317,1.095,3.33,57.4,25.3,1459.0,80.78
IC-1318,0.954,2.64,75.8,33.8,1747.0,83.95
IC-1319,0.944,1.4,17.3,31.2,1812.0,54.39
IC-1320,1.0,2.41,15.4,26.9,1786.0,58.95
IC-1321,1.18,4.09,32.2,23.7,2978.0,68.34
IC-1322,1.279,1.22,24.4,22.2,2514.0,49.65
IC-1323,1.246,2.4,88.5,31.1,2259.0,84.32
IC-1324,1.018,2.63,29.7,33.9,1542.0,73.72
IC-1325,1.423,3.13,97.8,31.6,2777.0,92.92
IC-1326,1.293,4.51,40.3,29.5,3092.0,77.68
IC-1327,1.183,2.45,26.4,20.8,2771.0,53.48
IC-1328,1.217,2.45,81.1,37.4,804.0,100.12
IC-1329,1.102,3.86,69.3,34.4,2327.0,90.3
IC-1330,0.999,2.83,54.8,25.3,923.0,79.41
IC-1331,1.064,2.01,60.0,37.6,1418.0,82.8
IC-1332,1.305,2.83,74.7,30.8,943.0,93.02
IC-1333,0.859,1.71,30.6,30.5,2249.0,55.8
IC-1334,0.92,1.83,99.7,33.5,2448.0,79.76
IC-1335,0.878,2.99,97.7,34.6,1075.0,96.31
IC-1336,0.874,2.71,68.5,31.8,1721.0,80.47
IC-1337,1.363,4.49,28.0,22.3,1895.0,78.99
IC-1338,1.272,2.5,71.2,26.1,1686.0,79.21
IC-1339,1.135,3.29,16.5,36.7,1090.0,82.62
IC-1340,0.909,3.48,12.8,24.0,1805.0,60.18
IC-1341,1.145,1.25,33.2,26.7,2603.0,53.72
IC-1342,1.134,3.59,51.6,27.8,970.0,86.63
IC-1343,0.954,1.84,88.1,27.9,992.0,84.69
IC-1344,1.11,4.66,75.4,31.0,1651.0,100.73
IC-1345,1.089,1.74,76.8,37.0,3060.0,74.58
IC-1346,1.22,2.69,48.3,24.3,2405.0,67.89
IC-1347,1.231,1.51,41.1,22.2,2429.0,57.67
IC-1348,0.877,4.79,43.4,23.6,1669.0,79.18
IC-1349,1.075,3.01,98.9,36.0,2225.0,92.44
IC-1350,1.226,3.34,13.6,31.6,824.0,82.28
IC-1351,1.152,1.44,88.0,25.1,2327.0,71.74
IC-1352,1.364,3.9,62.1,34.7,2992.0,87.35
IC-1353,1.245,1.96,49.5,35.5,2270.0,75.67
IC-1354,0.948,4.43,75.3,35.2,2897.0,87.66
IC-1355,0.892,1.94,53.8,36.5,2538.0,69.35
IC-1356,1.235,1.89,88.6,24.5,1089.0,83.62
IC-1357,0.866,1.33,91.1,33.6,2966.0,68.31
IC-1358,1.201,2.9,48.0,28.3,959.0,81.47
IC-1359,1.414,3.23,34.9,35.2,2082.0,83.41
IC-1360,1.195,1.44,63.3,33.1,1141.0,81.61
IC-1361,1.083,3.99,92.1,34.0,828.0,106.05
IC-1362,1.236,2.83,29.0,31.8,1813.0,76.52
IC-1363,1.125,3.09,66.1,23.2,1508.0,79.33
IC-1364,1.177,2.79,66.8,29.8,1966.0,81.75
IC-1365,1.415,2.64,76.0,37.7,2185.0,90.83
IC-1366,1.082,3.21,21.8,36.9,905.0,82.41
IC-1367,1.427,1.76,74.4,20.8,1095.0,80.77
IC-1368,1.393,1.85,91.8,23.0,2141.0,80.1
IC-1369,0.967,4.3,26.2,22.4,1624.0,70.88
IC-1370,0.892,4.61,31.4,33.1,2550.0,75.57
IC-1371,0.91,2.54,97.4,34.7,2365.0,82.5
IC-1372,0.861,2.17,26.3,23.8,2829.0,48.18
IC-1373,0.907,3.52,86.9,29.1,2462.0,83.01
IC-1374,1.26,2.67,54.3,35.1,1832.0,84.4
IC-1375,0.893,1.29,32.3,33.2,2415.0,57.0
IC-1376,1.041,1.76,88.4,29.8,1461.0,81.79
IC-1377,1.357,3.78,50.1,30.6,1535.0,89.53
IC-1378,0.864,3.57,56.3,29.2,2694.0,70.51
IC-1379,1.339,1.3,42.3,25.4,1871.0,65.63
IC-1380,1.019,2.0,63.4,30.2,2716.0,67.62
IC-1381,0.921,2.03,24.7,32.4,2774.0,56.7
IC-1382,1.268,3.62,45.2,35.7,2858.0,79.69
IC-1383,1.227,1.27,97.2,31.5,3000.0,72.38
IC-1384,1.376,1.57,33.2,33.7,1834.0,73.24
IC-1385,1.291,4.08,69.1,22.9,1565.0,88.15
IC-1386,1.332,1.84,39.3,28.3,2197.0,66.26
IC-1387,1.019,3.55,79.6,20.2,1691.0,80.98
IC-1388,0.956,2.06,21.8,24.4,2243.0,52.68
IC-1389,1.3,1.56,97.3,33.1,2493.0,84.42
IC-1390,1.334,2.08,50.8,37.9,2452.0,79.1
IC-1391,1.444,3.8,31.2,21.8,1699.0,78.13
IC-1392,1.098,4.28,16.6,27.2,1200.0,76.34
IC-1393,1.073,4.19,25.3,34.4,1833.0,82.41
IC-1394,1.316,2.63,56.8,23.7,1142.0,80.79
IC-1395,1.054,3.61,40.3,30.0,2936.0,69.08
IC-1396,1.408,1.94,84.6,33.2,1630.0,90.42
IC-1397,1.365,2.26,48.8,31.1,1171.0,80.8
IC-1398,1.107,4.43,32.4,23.4,861.0,83.2
IC-1399,1.301,1.25,65.5,26.4,2350.0,66.44
IC-1400,1.303,1.51,73.6,34.1,2329.0,76.67
IC-1401,0.912,1.95,25.0,30.0,1617.0,59.99
IC-1402,1.392,1.3,25.1,20.1,972.0,64.26
IC-1403,1.153,1.85,13.3,33.7,1783.0,63.58
IC-1404,1.346,3.3,76.3,20.6,1547.0,86.94
IC-1405,1.042,2.72,69.7,33.4,2425.0,77.94
IC-1406,1.387,4.41,52.7,23.6,2254.0,81.54
IC-1407,1.084,4.14,86.0,37.2,1675.0,100.02
IC-1408,0.857,2.43,82.5,26.6,1323.0,80.59
IC-1409,1.393,2.13,62.7,25.9,3171.0,67.53
IC-1410,0.905,2.57,88.1,22.7,1890.0,74.37
IC-1411,1.042,3.33,28.5,25.5,2452.0,64.12
IC-1412,1.42,2.17,20.1,35.8,1137.0,80.2
IC-1413,1.42,3.45,34.3,37.9,1965.0,88.67
IC-1414,1.194,2.67,15.1,26.6,866.0,72.98
IC-1415,1.229,3.19,57.8,28.1,2013.0,79.66
IC-1416,1.119,2.77,94.3,33.0,3114.0,80.32
IC-1417,1.026,2.26,13.5,36.0,1722.0,66.48
IC-1418,1.047,4.61,21.0,30.7,894.0,85.8
IC-1419,1.254,3.95,50.7,27.0,874.0,89.39
IC-1420,1.301,1.7,94.0,27.4,1731.0,82.61
IC-1421,1.325,4.33,38.5,32.5,1184.0,93.65
IC-1422,1.324,2.95,55.7,20.1,856.0,81.24
IC-1423,0.905,4.42,13.7,31.2,2615.0,67.71
IC-1424,1.147,4.08,23.4,26.4,1900.0,72.92
IC-1425,0.885,2.73,98.8,34.3,1494.0,91.08
IC-1426,1.18,1.28,96.9,21.7,2960.0,64.92
IC-1427,1.115,2.17,10.4,30.6,1079.0,68.3
IC-1428,1.383,3.15,95.7,28.7,3094.0,87.27
IC-1429,1.061,3.48,67.5,31.6,1554.0,85.56
IC-1430,0.92,2.13,88.1,21.2,2932.0,62.69
IC-1431,0.936,1.7,50.9,30.4,2247.0,61.97
IC-1432,1.307,4.21,56.4,30.1,2784.0,82.83
IC-1433,1.221,4.74,54.0,30.1,3162.0,81.81
IC-1434,0.911,3.09,70.0,30.9,1492.0,81.39
IC-1435,0.9,1.82,22.6,32.2,3107.0,50.16
IC-1436,1.271,2.18,12.7,34.5,1735.0,68.21
IC-1437,0.894,1.27,37.7,24.9,1725.0,55.96
IC-1438,1.343,4.49,73.4,34.9,1617.0,103.34
IC-1439,1.274,1.62,28.2,29.0,2099.0,62.18
IC-1440,0.899,3.28,70.6,21.4,1170.0,78.71
IC-1441,0.901,2.19,97.3,21.1,2129.0,71.44
IC-1442,1.442,3.2,18.5,26.0,2100.0,70.35
IC-1443,1.075,3.55,70.5,34.1,2629.0,85.7
IC-1444,1.072,4.19,49.9,32.7,2801.0,81.02
IC-1445,1.338,1.94,88.1,34.2,1857.0,87.59
IC-1446,1.418,1.24,25.9,29.3,1526.0,68.09
IC-1447,1.442,1.69,72.3,27.9,1422.0,83.85
IC-1448,1.302,4.44,85.4,22.7,1267.0,96.32
